# written by /home/mroughan/Reports/Networking/Topology/Waxman/Matlab/Estimation/G.m (Matlab version 0.03)
# written on 01-Jun-2016
# 
# parameters 
#    region = unit square
# format:   s,   G(s)
 0.796,  0.673113
 0.797,  0.672795
 0.798,  0.672476
 0.799,  0.672158
 0.800,  0.671840
 0.801,  0.671522
 0.802,  0.671204
 0.803,  0.670887
 0.804,  0.670569
 0.805,  0.670252
 0.806,  0.669935
 0.807,  0.669619
 0.808,  0.669302
 0.809,  0.668986
 0.810,  0.668669
 0.811,  0.668353
 0.812,  0.668037
 0.813,  0.667722
 0.814,  0.667406
 0.815,  0.667091
 0.816,  0.666776
 0.817,  0.666461
 0.818,  0.666146
 0.819,  0.665832
 0.820,  0.665518
 0.821,  0.665203
 0.822,  0.664890
 0.823,  0.664576
 0.824,  0.664262
 0.825,  0.663949
 0.826,  0.663636
 0.827,  0.663323
 0.828,  0.663010
 0.829,  0.662697
 0.830,  0.662385
 0.831,  0.662072
 0.832,  0.661760
 0.833,  0.661448
 0.834,  0.661137
 0.835,  0.660825
 0.836,  0.660514
 0.837,  0.660203
 0.838,  0.659892
 0.839,  0.659581
 0.840,  0.659270
 0.841,  0.658960
 0.842,  0.658650
 0.843,  0.658340
 0.844,  0.658030
 0.845,  0.657720
 0.846,  0.657410
 0.847,  0.657101
 0.848,  0.656792
 0.849,  0.656483
 0.850,  0.656174
 0.851,  0.655866
 0.852,  0.655557
 0.853,  0.655249
 0.854,  0.654941
 0.855,  0.654633
 0.856,  0.654326
 0.857,  0.654018
 0.858,  0.653711
 0.859,  0.653404
 0.860,  0.653097
 0.861,  0.652790
 0.862,  0.652483
 0.863,  0.652177
 0.864,  0.651871
 0.865,  0.651565
 0.866,  0.651259
 0.867,  0.650953
 0.868,  0.650648
 0.869,  0.650342
 0.870,  0.650037
 0.871,  0.649732
 0.872,  0.649428
 0.873,  0.649123
 0.874,  0.648819
 0.875,  0.648514
 0.876,  0.648210
 0.877,  0.647907
 0.878,  0.647603
 0.879,  0.647299
 0.880,  0.646996
 0.881,  0.646693
 0.882,  0.646390
 0.883,  0.646087
 0.884,  0.645785
 0.885,  0.645482
 0.886,  0.645180
 0.887,  0.644878
 0.888,  0.644576
 0.889,  0.644274
 0.890,  0.643973
 0.891,  0.643671
 0.892,  0.643370
 0.893,  0.643069
 0.894,  0.642768
 0.895,  0.642468
 0.896,  0.642167
 0.897,  0.641867
 0.898,  0.641567
 0.899,  0.641267
 0.900,  0.640967
 0.901,  0.640668
 0.902,  0.640368
 0.903,  0.640069
 0.904,  0.639770
 0.905,  0.639471
 0.906,  0.639172
 0.907,  0.638874
 0.908,  0.638576
 0.909,  0.638277
 0.910,  0.637979
 0.911,  0.637682
 0.912,  0.637384
 0.913,  0.637087
 0.914,  0.636789
 0.915,  0.636492
 0.916,  0.636195
